bigram,n
of the,35676
in the,32945
to the,17272
on the,15620
for the,14974
to be,12776
at the,11094
and the,10714
in a,9742
with the,8684
is a,8273
it was,8052
for a,7359
from the,7235
i was,7162
of a,7081
i have,6970
it is,6875
with a,6870
and i,6783
will be,6038
i am,5980
as a,5964
one of,5887
going to,5810
is the,5711
if you,5455
to get,5389
and a,5261
have a,5259
that the,5191
by the,5176
this is,4918
to a,4793
was a,4785
want to,4778
have to,4762
the first,4726
that i,4718
out of,4566
to do,4493
i think,4329
on a,4290
but i,4054
have been,4011
all the,3992
the same,3970
to make,3910
to see,3908
you can,3819
a few,3800
a lot,3734
of my,3716
has been,3673
he was,3667
as the,3590
be a,3535
would be,3495
a little,3449
more than,3439
about the,3402
i had,3388
when i,3376
in my,3307
need to,3306
to have,3277
into the,3248
i love,3163
they are,3134
you are,3073
he said,3059
you have,3038
there is,3024
i can,3008
we are,2974
a good,2969
to go,2945
i don't,2899
there are,2891
a a,2881
is not,2869
the best,2854
had a,2832
over the,2824
i know,2810
a great,2804
that is,2799
so i,2711
the world,2648
the most,2640
we have,2629
a new,2593
but the,2572
part of,2548
and then,2536
like a,2531
was the,2480
lot of,2458
some of,2421
all of,2418
able to,2417
the new,2413
i will,2408
i just,2401
thanks for,2398
as well,2396
i would,2380
trying to,2365
thank you,2350
back to,2347
of his,2342
at least,2331
the last,2303
can be,2297
at a,2295
the way,2281
the other,2246
is that,2209
do you,2194
so much,2158
and it,2156
on my,2137
the time,2130
in this,2117
of this,2113
up to,2109
for me,2087
a the,2074
to me,2061
that he,2056
if i,2053
to take,2039
the next,2038
had to,1992
according to,1978
kind of,1969
but it,1964
time to,1963
you know,1963
they were,1956
he is,1938
in his,1921
i could,1911
said the,1905
from a,1899
the end,1895
when the,1881
i want,1862
as i,1855
what i,1852
when you,1851
and that,1845
a bit,1831
that was,1826
of course,1815
way to,1807
the only,1805
to my,1786
me to,1783
go to,1763
has a,1755
be the,1752
of our,1742
would have,1735
she was,1728
this year,1724
to say,1718
are you,1702
should be,1701
that you,1698
a i,1695
through the,1687
which is,1685
right now,1682
how to,1681
that we,1676
into a,1673
that it,1671
the day,1667
i do,1642
i got,1633
after the,1627
wanted to,1622
by a,1599
like to,1592
and we,1591
with my,1589
there was,1586
of them,1570
year old,1561
like the,1559
have the,1558
the state,1550
get a,1542
it would,1541
of their,1541
not a,1540
we were,1528
it's a,1524
to keep,1522
said he,1517
end of,1513
up the,1508
are the,1501
new york,1498
to work,1498
the city,1497
during the,1495
that they,1483
is to,1480
up and,1480
to find,1479
it to,1477
such as,1470
last year,1464
most of,1461
to help,1460
had been,1444
of it,1443
up with,1436
out the,1428
it will,1421
and he,1419
because of,1418
i did,1414
for my,1410
he has,1410
i need,1397
they have,1393
and his,1391
this week,1382
off the,1376
did not,1365
around the,1361
such a,1361
i can't,1360
we can,1359
i thought,1358
not to,1358
a very,1357
do not,1353
for you,1338
when he,1326
if the,1313
used to,1313
and other,1312
it has,1311
of your,1307
a couple,1306
could be,1306
the right,1304
in an,1296
i hope,1295
you want,1295
she said,1292
i feel,1289
the past,1282
in their,1281
just a,1278
try to,1278
said a,1264
the second,1264
a big,1261
of all,1254
the top,1250
and they,1249
he had,1245
you to,1245
and you,1242
in your,1240
is an,1240
it and,1240
make a,1238
make it,1238
well as,1237
what you,1235
a long,1233
out to,1223
to come,1223
what is,1217
people who,1214
because i,1212
to give,1210
and in,1208
to you,1207
me and,1206
about it,1197
i dona,1196
of those,1196
of her,1193
look at,1187
do it,1186
are not,1185
been a,1174
for this,1173
that a,1171
know what,1163
the game,1163
i'm not,1162
who is,1153
you will,1152
up in,1151
a year,1148
are a,1145
not the,1143
years ago,1143
i like,1135
number of,1135
we had,1135
in our,1131
see the,1127
to use,1122
before the,1121
and to,1116
of us,1116
may be,1111
a and,1109
the one,1109
the rest,1108
know that,1106
that would,1106
be able,1104
she is,1103
is in,1099
so many,1099
to know,1090
got a,1085
of you,1085
i really,1083
high school,1081
was in,1079
my life,1074
get the,1073
of these,1073
them to,1073
i get,1072
no one,1070
the two,1070
the house,1069
forward to,1068
the u s,1066
i didn't,1062
of that,1061
enough to,1060
me a,1052
get to,1051
than the,1051
the a,1048
and my,1046
on this,1044
is going,1041
take a,1040
when it,1040
was not,1038
at all,1037
is it,1037
as it,1033
couple of,1033
not be,1033
last week,1030
if they,1029
we will,1023
on his,1021
those who,1020
and not,1019
to play,1014
how much,1013
it in,1013
instead of,1011
it's not,1008
does not,1005
it a,1003
the whole,1003
decided to,998
down the,998
looking for,998
went to,993
what the,990
me i,988
to his,988
first time,987
is one,986
after a,979
or a,977
who are,977
you don't,975
for all,971
is no,971
with his,969
is so,966
lots of,965
when we,963
be in,959
time i,959
hard to,957
when they,956
the people,954
said that,953
you get,952
a small,948
on your,942
under the,941
don't know,938
that are,937
this was,936
about a,933
last night,933
their own,930
the th,926
but he,924
the fact,924
let me,922
rest of,919
to this,919
feel like,917
where the,914
not only,913
of an,912
it all,911
love you,911
will have,910
that will,909
many of,908
the company,903
for your,902
out and,901
that she,899
across the,897
and is,897
come to,897
you do,893
away from,890
the book,890
as an,889
you need,886
now i,885
him to,883
ready to,881
of what,880
might be,879
than a,877
against the,876
as they,875
to start,875
up on,875
the year,874
if it,873
up a,872
as much,868
back in,868
in which,868
this time,866
you and,865
you think,865
along with,864
  million,863
there were,863
with her,862
the story,861
to your,859
as we,856
i've been,856
too much,856
of its,855
or the,855
to all,855
got to,852
did you,851
it i,851
can't wait,850
and was,848
so that,848
up for,846
in her,845
a day,844
for his,843
for an,842
so far,841
is my,836
with me,835
you for,835
out there,834
to put,834
then i,833
with you,833
as he,831
i guess,831
with an,830
fact that,829
if we,829
in fact,828
who was,828
of people,827
and all,825
in that,825
see you,825
what a,825
based on,824
to try,821
who has,818
make the,816
each other,815
for some,815
we need,815
and more,813
love to,812
on their,809
a man,807
time and,807
is just,804
it out,803
i wanted,802
to hear,800
must be,797
this morning,797
having a,796
my own,794
the country,793
time for,793
had the,791
a week,789
to win,789
but not,787
and so,782
this one,782
but they,781
the big,781
the case,780
have no,779
wants to,779
to her,772
make sure,770
rather than,770
said it,768
say that,767
that this,766
at this,765
is still,761
and have,760
down to,760
percent of,759
a time,758
to our,758
is also,755
even though,753
for more,753
my favorite,753
check out,751
on to,751
st louis,751
the middle,751
tried to,751
and if,750
don't have,749
they can,749
being a,745
bit of,745
i also,745
because the,744
that has,744
what they,743
what we,743
due to,742
could have,741
think i,741
can do,739
thanks to,737
us to,737
to look,735
because it,733
i saw,733
a while,732
i used,732
as you,730
side of,730
a way,729
and she,728
and her,727
like this,727
are in,726
know how,725
so we,722
to their,721
has to,720
  percent,719
he would,718
hope you,718
i went,718
love the,718
seems to,718
the team,718
with this,718
a  ,717
for it,717
on it,717
a he,716
i wish,716
you a,715
front of,714
is what,714
i should,711
but we,710
was going,709
in and,708
in one,707
looking forward,706
to watch,706
for her,704
much of,704
better than,703
because they,702
and what,701
if he,701
to pay,701
i hate,700
who have,700
the united,698
at home,697
like that,697
chance to,696
it up,695
for their,694
i found,693
they had,693
you should,693
since the,692
to share,692
top of,692
i still,690
to  ,690
that there,689
made a,688
not have,688
wait to,688
needs to,686
tell you,686
was just,686
less than,685
to tell,685
working on,684
and how,682
they will,682
between the,681
the back,681
and now,680
the final,680
going on,679
we all,679
even if,678
to think,677
what it,677
continue to,676
for our,676
may have,676
and there,675
to read,675
looks like,674
sort of,673
you could,671
and get,670
have you,670
it on,670
the future,670
i made,669
in order,669
and their,668
i see,667
to meet,667
where i,667
while the,667
and some,666
need a,666
think about,666
was so,666
much more,665
new jersey,665
to it,665
with your,664
get it,663
is now,663
you were,663
for us,662
my first,662
the night,662
until the,660
should have,659
the more,659
in front,658
here is,657
out in,657
do i,656
for that,656
the public,656
think of,656
from my,655
is on,655
will not,655
all that,653
like it,653
this weekend,653
to an,653
wea re,653
seem to,652
in new,651
the idea,651
said i,650
talk about,650
to write,650
it for,649
and has,648
she had,647
and will,646
follow me,646
like i,646
and this,645
can get,645
how many,645
i said,645
the show,645
in all,644
the kids,643
but that,642
his own,642
amount of,641
you guys,641
she has,640
no longer,639
me that,638
i knew,637
the national,636
time in,635
do the,633
full of,633
them and,632
united states,631
of  ,630
talking about,630
are so,629
to create,629
with their,628
think that,626
about to,625
i never,624
supposed to,623
any of,622
out a,622
ready for,622
a nice,621
but you,621
the season,621
and for,618
the entire,618
and when,617
on that,617
one day,617
with it,616
people are,615
a huge,613
are going,611
to show,609
to talk,609
not just,608
said in,608
can you,607
have an,607
to buy,607
all i,606
for those,606
and it's,605
but it's,605
out for,605
to stop,605
find a,603
the road,600
close to,599
the old,599
not sure,598
them in,598
and even,597
when she,596
which was,596
two years,595
we do,594
a large,593
the third,593
told me,593
on her,591
much as,590
do with,589
has the,589
just as,589
know i,589
about this,588
and as,588
and one,588
every day,588
i mean,588
it but,588
the man,588
to bring,588
as if,586
or not,586
but in,584
him and,584
i'm going,582
it the,582
with all,582
a chance,581
you all,581
back and,580
day of,579
if you're,579
the word,579
to stay,579
do that,578
expected to,576
made it,576
of time,575
needed to,574
order to,574
in some,573
next week,573
which i,573
i'll be,572
it seems,572
would like,570
you like,570
was an,569
live in,568
about how,567
and i'm,567
the school,567
on our,566
to change,565
ability to,564
sense of,563
am i,562
but a,562
my mom,562
with that,562
to leave,561
how the,560
of being,560
what he,560
a better,559
all over,559
theya re,559
so the,558
would not,558
to move,557
was to,557
along the,556
to learn,556
came to,555
take the,554
off to,553
the government,553
a we,552
all my,552
the car,552
to live,552
who had,552
love it,551
to that,550
listening to,549
are all,548
for them,548
the number,546
at my,545
the great,545
there's a,545
but this,544
the family,544
your own,544
can see,543
is this,543
me the,543
a more,542
it can,542
and an,541
that my,541
don't want,539
in its,539
here in,538
it's the,538
los angeles,538
he will,537
to follow,537
a real,536
a single,536
i felt,536
no matter,536
to run,536
but if,535
he says,535
makes me,535
easy to,533
listen to,533
and make,532
piece of,532
with some,532
a different,530
an hour,530
you in,530
comes to,529
of me,528
only one,528
to him,528
got the,527
how i,527
i believe,527
to them,526
waiting for,526
do a,525
so it,524
for example,522
it just,522
things that,522
think it,522
you see,522
day and,520
that in,520
a whole,519
before i,519
opportunity to,519
that if,519
took a,519
wish i,519
me in,517
more of,517
my head,517
the main,517
know the,516
the very,516
they would,516
and had,515
it as,514
just like,514
a but,513
people in,513
the film,513
among the,512
the morning,512
his first,511
interested in,511
use the,511
next to,510
the movie,510
they do,510
happy birthday,509
it comes,509
the bottom,509
while i,509
m not,508
it with,507
since i,507
may not,506
you can't,506
a bad,504
is very,504
that can,504
the door,503
the good,503
the real,503
don't think,502
had no,502
same time,502
become a,501
believe that,501
a friend,500
made the,500
my new,500
to eat,500
you might,499
of new,498
the week,498
you would,498
my mind,497
even more,496
i took,496
lack of,496
the sun,496
to let,496
in it,495
now that,495
that have,495
when a,495
said she,494
i didna,493
the university,493
and its,492
see what,492
talk to,492
you may,492
am not,491
director of,491
looking at,491
university of,491
what do,491
a second,490
be on,490
san francisco,490
and just,489
group of,489
i'm a,489
i decided,488
long time,488
on twitter,488
what to,488
just the,487
out on,487
that one,487
i say,486
known as,486
little bit,486
these are,485
what was,485
he did,484
a half,483
i miss,483
many people,483
something that,483
what are,483
about  ,480
but there,480
just got,480
life is,480
throughout the,480
day i,479
for him,479
look like,479
the american,479
the point,479
with him,479
a month,478
is more,478
see a,478
the ball,478
the biggest,478
this season,478
because he,477
today i,477
use of,476
excited to,475
not going,475
we got,475
with them,475
and are,474
life and,474
members of,474
now and,474
over a,474
the law,474
to become,474
here are,473
people to,472
on friday,471
said they,471
a book,470
after all,470
is about,470
list of,470
my heart,470
next year,469
the federal,469
the front,469
told the,469
year and,469
the truth,468
through a,468
time of,468
and on,466
deal with,466
type of,466
well i,466
where he,466
all day,465
know if,465
than  ,465
be more,464
he could,464
in love,463
out with,463
so you,463
tell me,463
the name,463
department of,462
one thing,462
we could,462
and no,461
her to,461
plenty of,461
behind the,460
i started,460
i always,459
a it,458
a full,457
a woman,457
can i,457
and your,456
thinking about,456
willing to,456
a said,455
could not,455
home and,455
years of,455
have some,454
he also,454
set up,454
why i,454
i haven't,453
made me,453
the ground,453
the process,453
the water,453
wait for,453
was on,453
a wonderful,452
here and,452
think the,452
you just,452
day to,450
his wife,450
right to,450
from his,449
one that,449
your life,449
and said,448
do this,448
only a,448
friends and,447
have had,447
i cana,447
then the,447
in addition,446
might have,446
my friend,445
of life,445
work with,445
are still,444
back on,444
on top,444
the following,444
was that,444
how do,443
would you,443
every time,442
of how,442
that could,442
the moment,442
  in,441
way of,441
but i'm,440
good morning,440
there will,439
  billion,438
few days,438
a place,437
but when,437
see it,437
a you,436
the  ,436
was one,436
we would,436
work and,436
at work,435
he can,435
is there,435
president of,435
on saturday,434
out that,434
the st,434
within the,434
be an,433
half of,433
happy to,432
the internet,431
focus on,430
just to,430
there and,430
long as,429
where you,429
sure to,428
the money,428
the weekend,428
the worst,428
to add,428
two of,428
we don't,428
with us,428
we should,427
and be,426
good to,426
in to,426
the problem,426
yes i,426
about that,424
for one,424
likely to,424
see how,424
on and,423
the white,423
a one,422
about what,422
i remember,422
to us,422
a special,421
but also,421
it had,421
the area,421
to one,421
ve been,421
work on,421
health care,420
it does,420
the lord,420
is all,419
love and,419
or two,419
the follow,419
to spend,419
have not,418
keep the,418
put the,418
and see,417
any other,417
to ask,417
at that,416
have any,416
the beginning,416
the original,416
to call,416
was no,416
it could,415
a group,413
all about,413
go back,413
make me,413
the group,413
even the,412
how it,412
over and,412
the air,412
to sleep,412
also a,411
be there,411
him a,411
other than,411
to check,411
the street,410
version of,410
my friends,409
on an,409
plans to,409
with no,409
but then,408
down and,408
middle of,408
of one,408
the work,408
you the,408
in other,407
my husband,407
no idea,407
or even,406
that's a,406
the police,406
they don't,406
we get,406
a part,405
are some,405
did i,405
over to,405
the current,405
we know,405
with our,405
i'm so,404
the board,404
the latest,404
up at,404
work in,404
a beautiful,403
social media,403
the room,403
three years,403
and with,402
as she,402
it makes,402
know it,402
not so,402
hope to,401
of which,401
some people,401
were the,401
but she,400
find out,400
pick up,400
a number,399
good luck,399
is like,399
last month,399
will get,399
of god,398
place to,398
though i,398
a major,397
i find,397
the little,397
can make,396
in any,396
not in,396
state of,396
the three,396
as long,395
get out,395
go on,395
i might,395
on how,395
the power,394
the things,394
to provide,394
and at,393
was also,393
were a,393
but for,392
it so,392
people and,392
filled with,391
say the,391
the event,391
few years,390
years and,390
i told,389
idea of,389
quite a,389
a person,388
on monday,388
the field,388
they could,388
thousands of,388
is for,387
not that,387
now the,387
was very,387
family and,386
put it,386
something to,386
where they,386
day in,385
me know,385
not even,385
seemed to,385
this month,385
too many,385
be sure,384
it wasn't,384
all in,383
it's been,383
its own,383
were not,383
has not,382
using the,382
you dona,382
is being,381
this book,381
all this,380
figure out,380
it also,380
it doesn't,380
we want,380
come out,379
a statement,378
at me,378
million in,378
one is,378
san diego,378
thought i,378
you so,378
and of,377
been in,377
that's what,377
the court,377
would love,377
come back,376
pretty much,376
to save,376
will take,376
place in,375
a short,373
no more,373
the former,373
a really,372
the county,372
the floor,372
the place,372
two weeks,372
and two,371
end up,370
i wonder,370
is always,370
is good,370
of any,370
series of,370
than i,370
week and,370
and also,369
ended up,369
or so,369
the early,369
way i,369
during a,368
get my,368
him in,368
of things,368
to build,368
to pick,368
a high,367
i read,367
it may,367
a child,366
care of,366
the question,366
you i,366
a former,365
a game,365
read the,365
this point,365
which has,365
food and,364
hundreds of,364
near the,364
the summer,364
who will,364
a job,363
a no,363
plan to,363
that were,363
which the,363
will never,363
am a,362
and let,362
like you,362
time the,362
without a,362
is your,361
is only,360
none of,360
the local,360
a team,358
find the,358
making a,358
to avoid,358
how you,357
is really,357
one in,357
pay for,357
the bill,357
the home,357
to visit,357
today is,357
where we,357
involved in,356
member of,356
point of,356
return to,356
the perfect,356
were in,356
did it,355
each of,355
about my,354
are also,354
come up,354
good for,354
had an,354
that makes,354
the opportunity,354
a ita,353
man who,353
that's the,353
time with,353
as to,352
coming to,352
create a,352
hit the,352
i couldn't,352
is at,352
so they,352
someone who,352
was still,352
few weeks,351
home to,351
it really,351
much to,351
thing i,351
are just,350
see that,350
the kind,350
the market,350
who were,350
will do,350
a two,349
can only,349
began to,348
it takes,348
on thursday,348
starting to,348
the long,348
to those,348
and that's,347
see if,347
the person,347
to its,347
took the,347
bunch of,346
form of,346
sounds like,346
the site,346
us and,346
will make,346
a pretty,345
that way,345
watching the,345
add the,344
did the,344
give you,344
must have,344
my family,344
some time,344
tend to,344
we did,344
that his,343
the food,343
thought it,343
was able,343
a young,342
and our,342
but as,342
for years,342
her and,342
including the,342
on sunday,342
the high,342
the music,342
wea ve,342
you feel,342
soon as,341
what happened,341
give me,340
i'm sure,340
me on,340
still have,340
things i,340
to what,340
which he,340
a free,339
a in,339
a story,339
get in,339
i look,339
i may,339
into my,339
say a,339
a result,338
addition to,338
at one,338
called the,338
found a,338
love that,338
the district,338
are now,337
managed to,337
on me,337
the church,337
trip to,337
happened to,336
long term,335
my way,335
on one,335
so good,335
the job,335
was at,335
ways to,335
with one,335
you had,335
best of,334
for about,334
ice cream,334
if a,334
outside the,334
that had,334
as part,333
at first,333
came out,333
getting a,333
i go,333
the hospital,333
the kitchen,333
the years,333
they want,333
access to,332
come on,332
living in,332
to join,332
days of,331
so excited,331
be at,330
if she,330
the ones,330
the side,330
and go,329
gonna be,329
on its,329
the center,329
the table,329
with its,329
all you,328
as many,328
it took,328
nice to,328
on tuesday,328
the economy,328
the project,328
these days,328
a she,327
a this,327
and most,327
has become,327
that all,327
the building,327
thing to,327
to turn,327
you love,327
at  ,326
it's just,326
miss you,326
the program,326
was born,326
you too,326
a series,325
but what,325
get back,325
look for,325
of some,325
pair of,325
terms of,325
work for,325
a strong,324
attempt to,324
come in,324
nothing to,324
very good,324
was my,324
because you,323
did a,323
i loved,323
the fourth,323
the news,323
the reason,323
be done,322
her own,322
is something,322
it might,322
the community,322
to not,322
a bunch,321
as soon,321
believe in,321
for its,321
on what,321
once again,321
the west,321
use a,321
have done,320
more and,320
only the,320
saw the,320
the phone,320
things to,320
story of,319
the line,319
those of,319
to some,319
to support,319
because we,318
house and,318
the weather,318
to continue,318
was really,318
you go,318
am so,317
not as,317
them a,317
to hold,317
us a,317
and do,316
years old,316
important to,315
it when,315
to school,315
we just,315
i wasn't,314
me for,314
me up,314
a guy,313
an old,313
as possible,313
for what,313
have it,313
on wednesday,313
our own,313
so he,313
very much,313
difficult to,312
is why,312
more about,312
not been,312
started to,312
thing that,312
this post,312
though the,312
working with,312
year the,312
but to,311
do something,311
here i,311
in life,311
my dad,311
said we,311
that time,311
the issue,311
again and,310
come from,310
have never,310
i'm just,310
or more,310
take it,310
the president,310
years in,310
a family,309
for  ,309
it that,309
of two,309
the head,309
get some,308
picked up,308
so what,308
to reach,308
and others,307
five years,307
have made,307
one more,307
and  ,306
are on,306
do is,306
for now,306
her husband,306
more to,306
proud of,306
they did,306
to sell,306
history of,305
the office,305
watch the,305
won the,305
at his,304
does it,304
from her,304
from their,304
it should,304
next time,304
to protect,304
to understand,304
today and,304
a girl,303
do we,303
you look,303
you that,303
a certain,302
be used,302
interest in,302
much better,302
only to,302
this summer,302
we went,302
welcome to,302
won't be,302
for another,301
last time,301
let the,301
look forward,301
put on,301
say i,301
the wrong,301
there's no,301
a picture,300
four years,300
give up,300
the heart,300
the start,300
think it's,300
was like,300
a if,299
go out,299
i asked,299
if there,299
this blog,299
up my,299
we love,299
your favorite,299
a car,298
an amazing,298
in january,298
the list,298
both the,297
i tried,297
it looks,297
the left,297
to believe,297
a look,296
are no,296
just one,296
parts of,296
that when,296
the wall,296
about his,295
all these,295
as one,295
do so,295
off a,295
that and,295
a problem,294
ahead of,294
how they,294
if your,294
been the,293
both of,293
enjoy the,293
having to,293
i needed,293
makes it,293
result of,293
school and,293
thing is,293
to bed,293
even a,292
home in,292
to cut,292
would make,292
hope that,291
i heard,291
in many,291
in time,291
it it,291
my blog,291
picture of,291
really good,291
will also,291
but at,290
found that,290
inside the,290
to figure,290
what if,290
  a,289
a well,289
are more,289
for being,289
it off,289
let us,289
make you,289
of other,289
sure that,289
this will,289
turned out,289
a what,288
by his,288
know you,288
lead to,288
looked at,288
the us,288
week i,288
went on,288
i must,287
if not,287
level of,287
little more,287
money to,287
my mother,287
so if,287
that it's,287
the cost,287
the state's,287
want a,287
about you,286
for two,286
love with,286
aware of,285
back of,285
from our,285
me as,285
much for,285
says the,285
think we,285
this a,285
variety of,285
city of,284
me too,284
my last,284
she would,284
to feel,284
to happen,284
until i,284
a to,283
after that,283
compared to,283
has no,283
no doubt,283
one and,283
still a,283
the fire,283
to just,283
to lose,283
who would,283
also the,282
and made,282
and new,282
do to,282
for many,282
how can,282
in terms,282
the guy,282
the late,282
to send,282
a piece,281
and those,281
down on,281
great to,281
is coming,281
just about,281
the park,281
to catch,281
was about,281
weeks ago,281
and put,280
felt like,280
in for,280
left the,280
onto the,280
the greatest,280
you ever,280
given the,279
he does,279
one i,279
start to,279
a perfect,278
change the,278
charged with,278
failed to,278
find it,278
it be,278
majority of,278
not really,278
one to,278
that means,278
to wait,278
way that,278
wonder if,278
you got,278
be back,277
i came,277
i i,277
my best,277
the race,277
the south,277
then you,277
why do,277
why the,277
you really,277
at it,276
in case,276
in march,276
ll be,276
lol i,276
say it,276
year i,276
  to,275
a that,275
don't get,275
he and,275
me of,275
the media,275
to speak,275
a fun,274
a local,274
also be,274
if this,274
make up,274
making the,274
never been,274
on some,274
she says,274
state and,274
talking to,274
the series,274
then we,274
a first,273
a hard,273
a state,273
followed by,273
other people,273
said to,273
why is,273
last season,272
me but,272
no way,272
not for,272
of him,272
the girls,272
the red,272
things are,272
attention to,271
he didn't,271
is expected,271
it at,271
keep it,271
night and,271
real estate,271
taking a,271
the amount,271
the face,271
the previous,271
to open,271
which are,271
a quick,270
at some,270
be so,270
became a,270
cost of,270
far as,270
from this,270
give it,270
i hear,270
most important,270
on in,270
than that,270
them i,270
to celebrate,270
use it,270
which will,270
woke up,270
you must,270
all those,269
and many,269
and or,269
being the,269
board of,269
can find,269
free to,269
grew up,269
the answer,269
the course,269
the heat,269
them with,269
at times,268
doing the,268
think you,268
and take,267
help you,267
in san,267
put a,267
and still,266
back into,266
good and,266
i put,266
if that,266
is how,266
kinds of,266
of work,266
that i'm,266
the crowd,266
the party,266
the scene,266
the words,266
to begin,266
year in,266
his life,265
in mind,265
know about,265
the city's,265
the price,265
there for,265
wake up,265
without the,265
yet to,265
a pair,264
before you,264
but now,264
despite the,264
earlier this,264
first round,264
for following,264
go for,264
life in,264
or something,264
set of,264
the body,264
to improve,264
to love,264
was there,264
a movie,263
don't like,263
found the,263
glad to,263
they say,263
to end,263
anyone else,262
do what,262
in on,262
in recent,262
in there,262
me with,262
something i,262
the store,262
to wear,262
are very,261
day for,261
good thing,261
the girl,261
the woman,261
will come,261
after i,260
get your,260
i'm in,260
if youa,260
led to,260
our lives,260
the business,260
the full,260
to new,260
up i,260
allowed to,259
as far,259
forced to,259
how we,259
new year,259
to and,259
world of,259
as of,258
bottom of,258
focused on,258
fun and,258
help me,258
might not,258
most people,258
moved to,258
on facebook,258
the need,258
this and,258
to walk,258
will go,258
a much,257
are doing,257
from an,257
is too,257
leave the,257
the bar,257
the report,257
they should,257
us in,257
white house,257
  and,256
agreed to,256
all time,256
anyone who,256
i wanna,256
the death,256
they need,256
with two,256
   ,255
ago i,255
and over,255
can also,255
e mail,255
my parents,255
name of,255
need for,255
said and,255
that's not,255
that people,255
the ability,255
the song,255
but with,254
called a,254
can help,254
great day,254
hours of,254
how about,254
much i,254
the light,254
the post,254
thought of,254
what would,254
you're not,254
are being,253
back from,253
by an,253
millions of,253
my house,253
pretty good,253
vice president,253
and white,252
just want,252
like an,252
the love,252
the situation,252
again i,251
beginning of,251
effort to,251
got it,251
love this,251
pictures of,251
that day,251
the title,251
this way,251
to finish,251
to remember,251
water and,251
a home,250
as my,250
call it,250
didn't know,250
is as,250
is getting,250
my son,250
person who,250
seems like,250
still in,250
the chance,250
the dark,250
to everyone,250
to raise,250
what she,250
comes from,249
coming up,249
have seen,249
i only,249
in november,249
it's all,249
my eyes,249
off and,249
that of,249
the beach,249
where it,249
a simple,248
and by,248
didn't have,248
for any,248
it's going,248
just because,248
of water,248
put in,248
the difference,248
up from,248
yeah i,248
as for,247
he wants,247
love my,247
me at,247
sure you,247
the largest,247
this to,247
to enjoy,247
to grow,247
to pass,247
used the,247
depending on,246
in two,246
it into,246
oh my,246
unable to,246
who can,246
you at,246
a world,245
and ita,245
and yet,245
decision to,245
for sure,245
get into,245
his family,245
how are,245
no i,245
outside of,245
responsible for,245
saying that,245
someone else,245
the north,245
time when,245
to sit,245
was too,245
we go,245
a they,244
and can,244
and who,244
are we,244
at an,244
he got,244
should not,244
shout out,244
that no,244
the nation,244
them on,244
a three,243
and after,243
at her,243
before he,243
continues to,243
for each,243
found in,243
have fun,243
i bought,243
many times,243
oh and,243
police said,243
th century,243
the black,243
the streets,243
to kill,243
a third,242
a total,242
him the,242
in place,242
in with,242
me so,242
my sister,242
all your,241
closer to,241
could do,241
doing it,241
every single,241
in these,241
my little,241
now a,241
out at,241
them all,241
them for,241
you on,241
down in,240
role in,240
the league,240
to another,240
to offer,240
about her,239
at pm,239
but no,239
came from,239
case of,239
don't forget,239
found out,239
get me,239
including a,239
my hair,239
one for,239
the band,239
the stage,239
time we,239
to set,239
will continue,239
will help,239
year to,239
also have,238
but ita,238
but my,238
could get,238
for people,238
give a,238
has made,238
how long,238
i dont,238
i learned,238
i try,238
in every,238
it or,238
just in,238
or in,238
to cover,238
to deal,238
together and,238
turns out,238
was all,238
why not,238
a moment,237
about their,237
am going,237
head of,237
in what,237
like me,237
one who,237
told him,237
well and,237
and say,236
at night,236
back at,236
but still,236
example of,236
for free,236
in may,236
my daughter,236
my day,236
people have,236
same thing,236
taking the,236
that as,236
the boys,236
to hit,236
you make,236
and while,235
dealing with,235
more like,235
my phone,235
of each,235
out i,235
out my,235
saw a,235
the size,235
then he,235
think they,235
this has,235
  for,234
a is,234
a life,234
around and,234
bit more,234
god is,234
his father,234
like my,234
on all,234
say they,234
they also,234
will you,234
been on,233
came in,233
have more,233
is nothing,233
lived in,233
making it,233
name is,233
that for,233
the blazers,233
the corner,233
the decision,233
the highest,233
using a,233
when my,233
check it,232
fun to,232
i wrote,232
is i,232
it down,232
never be,232
of love,232
officials said,232
or at,232
relationship with,232
response to,232
the company's,232
them out,232
they get,232
very well,232
been to,231
down a,231
he's a,231
in february,231
of money,231
sure i,231
the agency,231
there to,231
to mention,231
wea ll,231
a recent,230
best to,230
feel the,230
few of,230
has an,230
in june,230
it's time,230
it again,230
meant to,230
men and,230
open to,230
returned to,230
win the,230
a happy,229
appears to,229
ask for,229
block of,229
excited about,229
follow back,229
go with,229
he told,229
is from,229
remember the,229
rt i,229
that some,229
the bus,229
the children,229
the department,229
them as,229
was it,229
